Input,canonical name,Registered Domain,Hop,(ms),(ms),(ms),IP Address,Host name,Time of day,Hop count
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,4,40,58,40,184.105.213.70,100ge8-1.core1.ash1.he.net,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,5,48,35,35,72.52.92.226,100ge5-1.core2.ash1.he.net,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,6,40,40,40,184.105.81.149,100ge8-1.core1.nyc5.he.net,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,7,100,100,100,184.105.65.246,100ge8-2.core1.dub1.he.net,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,8,104,104,104,72.52.92.197,100ge3-2.core1.man1.he.net,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,9,137,141,132,184.105.213.65,100ge16-1.core1.ams1.he.net,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,10,126,126,126,184.105.65.18,100ge12-1.core1.ber1.he.net,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,11,Timed out,Timed out,Timed out,,-,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,12,Timed out,Timed out,Timed out,,-,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,13,Timed out,Timed out,Timed out,,-,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,14,Timed out,Timed out,Timed out,,-,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,15,Timed out,Timed out,Timed out,,-,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,16,Timed out,Timed out,Timed out,,-,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,17,Timed out,Timed out,Timed out,,-,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,18,Timed out,Timed out,Timed out,,-,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,19,Timed out,Timed out,Timed out,,-,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,20,156,157,157,77.64.170.23,77-64-170-23.dynamic.primacom.net,22,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,1,0,0,0,67.219.148.9,dfw-c1-vl0990.cpgventures.com,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,2,0,0,0,184.105.25.73,v509.core1.dal1.he.net,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,3,23,23,24,184.105.81.169,100ge8-1.core1.atl1.he.net,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,4,46,35,37,184.105.213.70,100ge8-1.core1.ash1.he.net,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,5,Timed out,35,37,72.52.92.226,100ge5-1.core2.ash1.he.net,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,6,40,40,41,184.105.81.149,100ge8-1.core1.nyc5.he.net,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,7,100,100,101,184.105.65.246,100ge8-2.core1.dub1.he.net,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,8,104,104,104,72.52.92.197,100ge3-2.core1.man1.he.net,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,9,151,126,121,184.105.213.65,100ge16-1.core1.ams1.he.net,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,10,126,126,126,184.105.65.18,100ge12-1.core1.ber1.he.net,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,11,Timed out,Timed out,Timed out,,-,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,12,Timed out,Timed out,Timed out,,-,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,13,Timed out,Timed out,Timed out,,-,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,14,Timed out,Timed out,Timed out,,-,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,15,Timed out,Timed out,Timed out,,-,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,16,Timed out,Timed out,Timed out,,-,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,17,Timed out,Timed out,Timed out,,-,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,18,Timed out,Timed out,Timed out,,-,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,19,Timed out,Timed out,Timed out,,-,23,20
77.64.170.23,77-64-170-23.dynamic.primacom.net,primacom.net,20,158,158,154,77.64.170.23,77-64-170-23.dynamic.primacom.net,23,20
207.244.67.218,no-reverse-dns-configured.com,,1,0,0,0,207.86.208.17,-,19,10
207.244.67.218,no-reverse-dns-configured.com,,2,0,0,0,207.88.13.122,vb2000d1.rar3.dallas-tx.us.xo.net,19,10
